Designator,Mid X,Mid Y,Rotation,Layer
D1,65.25,-51.708309,90.0,bottom
D10,101.25,-68.708301,90.0,bottom
D11,137.25,-68.708301,90.0,bottom
D12,212.25,-68.708301,90.0,bottom
D13,230.25,-68.708301,90.0,bottom
D14,270.75,-68.708301,90.0,bottom
D15,306.75,-68.708301,90.0,bottom
D16,342.75,-68.708301,90.0,bottom
D17,65.25,-85.708293,90.0,bottom
D18,101.25,-85.708293,90.0,bottom
D19,137.25,-85.708293,90.0,bottom
D2,101.25,-51.708309,90.0,bottom
D20,270.75,-85.708293,90.0,bottom
D21,306.75,-85.708293,90.0,bottom
D22,342.75,-85.708293,90.0,bottom
D23,65.25,-102.708285,90.0,bottom
D24,101.25,-102.708285,90.0,bottom
D25,137.25,-102.708285,90.0,bottom
D26,230.25,-102.708285,90.0,bottom
D27,270.75,-102.708285,90.0,bottom
D28,306.75,-102.708285,90.0,bottom
D29,342.75,-102.708285,90.0,bottom
D3,137.25,-51.708309,90.0,bottom
D30,65.25,-119.708277,90.0,bottom
D31,101.25,-119.708277,90.0,bottom
D32,212.25,-119.708277,90.0,bottom
D33,230.25,-119.708277,90.0,bottom
D34,279.0,-119.708277,90.0,bottom
D35,306.75,-119.708277,90.0,bottom
D36,342.75,-119.708277,90.0,bottom
D4,212.25,-51.708309,90.0,bottom
D5,230.25,-51.708309,90.0,bottom
D6,270.75,-51.708309,90.0,bottom
D7,306.75,-51.708309,90.0,bottom
D8,342.75,-51.708309,90.0,bottom
D9,65.25,-68.708301,90.0,bottom
J1,157.405,-37.298308,0.0,bottom
J2,186.75,-41.81998,270.0,top
J3,169.5,-73.716632,90.0,bottom
SW1,169.5,-43.208313,180.0,bottom
